run_tag,n_segments,n_out_rows,max_step,n_event_rows,n_idx_refs,flux_firings,n_selected
NiCr_Ni95_Cr05_T500_5vac,1,2000,2000,42888,881,2026.4594541135139,2000
NiCr_Ni95_Cr05_T500_6vac,1,2000,2000,39468,303,2029.0607841107305,2000
NiCr_Ni95_Cr05_T500_7vac,1,2000,2000,46559,941,1969.5269701697014,2000
NiCr_Ni95_Cr05_T500_8vac,1,2000,2000,60310,774,1988.4767294460275,2000
NiCr_Ni95_Cr05_T500_9vac,1,2000,2000,73354,1186,1968.483016142381,2000
NiCr_Ni95_Cr05_T600_10vac,1,2000,2000,75878,472,2009.2696326203506,2000
NiCr_Ni95_Cr05_T600_1vac,1,2000,2000,10785,1359,2030.8708553339238,2000
NiCr_Ni95_Cr05_T600_2vac,1,2000,2000,12647,619,1961.8335962898448,2000
NiCr_Ni95_Cr05_T600_3vac,1,2000,2000,10983,565,2034.541589587136,2000
NiCr_Ni95_Cr05_T600_4vac,1,2000,2000,29677,1071,2016.0134115592268,2000
NiCr_Ni95_Cr05_T600_5vac,1,2000,2000,39568,604,1930.6928440330094,2000
NiCr_Ni95_Cr05_T600_6vac,1,2000,2000,48612,1369,1951.6006572583442,2000
NiCr_Ni95_Cr05_T600_7vac,1,2000,2000,52869,1554,2043.604029297588,2000
NiCr_Ni95_Cr05_T600_8vac,1,2000,2000,62714,1238,1895.8036478284491,2000
NiCr_Ni95_Cr05_T600_9vac,1,2000,2000,66449,555,1954.4005516750387,2000
NiCr_Ni95_Cr05_T700_10vac,1,2000,2000,68910,1398,1939.1584229973573,2000
NiCr_Ni95_Cr05_T700_1vac,1,2000,2000,10353,1397,2013.6025812154799,2000
NiCr_Ni95_Cr05_T700_2vac,1,2000,2000,22599,1228,1992.166769959658,2000
NiCr_Ni95_Cr05_T700_3vac,1,2000,2000,21018,1342,2051.372002164185,2000
NiCr_Ni95_Cr05_T700_4vac,1,2000,2000,29717,1151,2056.1233495621786,2000
NiCr_Ni95_Cr05_T700_5vac,1,2000,2000,40749,1586,2019.4666082404065,2000
NiCr_Ni95_Cr05_T700_6vac,1,2000,2000,50516,1493,1966.6657995334608,2000
NiCr_Ni95_Cr05_T700_7vac,1,2000,2000,53738,1709,2071.781478777115,2000
NiCr_Ni95_Cr05_T700_8vac,1,2000,2000,68418,1516,1961.7981848649997,2000
NiCr_Ni95_Cr05_T700_9vac,1,2000,2000,73087,1403,1991.2462647496416,2000
NiCr_Ni95_Cr05_T800_10vac,1,2000,2000,73121,2662,1957.959924651635,2000
NiCr_Ni95_Cr05_T800_1vac,1,2000,2000,11596,1145,1997.5423519210572,2000
NiCr_Ni95_Cr05_T800_2vac,1,2000,2000,13306,568,1982.512559933072,2000
NiCr_Ni95_Cr05_T800_3vac,1,2000,2000,12919,425,2011.0187684691136,2000
NiCr_Ni95_Cr05_T800_4vac,1,2000,2000,30468,1594,2090.7684971130598,2000
NiCr_Ni95_Cr05_T800_5vac,1,2000,2000,35737,2438,1944.641981411733,2000
NiCr_Ni95_Cr05_T800_6vac,1,2000,2000,31890,1513,1972.8924899284511,2000
NiCr_Ni95_Cr05_T800_7vac,1,2000,2000,50927,2003,1972.6272113346186,2000
NiCr_Ni95_Cr05_T800_8vac,1,2000,2000,61664,2774,2018.432432980923,2000
NiCr_Ni95_Cr05_T800_9vac,1,2000,2000,72231,3158,1982.8684635772697,2000
