class_id,nu0_pair_policy,audit_status,archetype,action_id,one_way,move_shape,delta_atoms,Ea_rep_eV,Ea_std_eV,n_eff,flux_firings,n_selected,occupancy_s,n_instances,reachable,n_members,donor,donor_run,donor_idx,cum_flux_frac_pend
8f99560ba706a2bbd238df34b98735ad4128c867a5b67163fc2b93800ad30cf3,pending_research,pending,5330918672303922021,16426931232365969814,True,1845857888,0,1.01879115954398,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T700_9vac#1080,NiFe_Ni95_Fe05_T700_9vac,1080,0.999999999999982
8f97259cbfdd12e64bc2fa7af0c273a8a70af9b7c1f120414a4c29b09a694aa6,pending_research,pending,2636106273944158809,818860416223707415,True,1392474951,0,0.805222075778147,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T700_5vac#547,NiFe_Ni95_Fe05_T700_5vac,547,0.999999999999982
8f8cbf47c4b2cd1cf52bae60fa0622b370053deec2d0b409f22578f5cd3cd91e,pending_research,pending,5330918672303922021,16426931232365969814,True,1231408413,0,1.076405532922763,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T700_7vac#949,NiFe_Ni95_Fe05_T700_7vac,949,0.999999999999982
8f8678c233b574808c0a1e32e0e0273fd1064a0cff112479c10d4b4c59348ca2,pending_research,pending,4972478298379930765,6698383570156747695,False,1545892301,0,0.7293754339489168,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T600_9vac#364,NiFe_Ni95_Fe05_T600_9vac,364,0.999999999999982
3974a67ee7fb5db9859e10037f0e065e3ac05f352110c3de5e747da058872f83,pending_research,pending,5330918672303922021,16426931232365969814,True,1231408413,0,1.0764206664780431,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_8vac#903,NiFe_Ni95_Fe05_T800_8vac,903,0.999999999999982
396e883bbd61b5da8319b3b966d423bc7ee0ee41e749ac5ddcdf3f6cde223c87,pending_research,pending,4972478298379930765,6698383570156747695,False,421549953,0,0.5587824856775113,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T600_8vac#648,NiFe_Ni95_Fe05_T600_8vac,648,0.999999999999982
3961d9af6bdf86eae62bed921702379c245044ba89265732ebe46410d82b002e,pending_research,pending,4972478298379930765,6698383570156747695,False,95616437,0,0.7690281397462969,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_8vac#763,NiFe_Ni95_Fe05_T800_8vac,763,0.999999999999982
3948e558cc15fe5f6b8c35c6d84b27565decdcad38701c88c0c0afa6be1ea8d0,pending_research,pending,5330918672303922021,16426931232365969814,True,494978433,0,0.6638776316822258,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_8vac#1425,NiFe_Ni95_Fe05_T800_8vac,1425,0.999999999999982
46b82efea95c8f2ca8ed3e0225795d92aafb2de66ad05d625ae19ca2abc20086,pending_research,pending,4972478298379930765,6698383570156747695,False,17684511,0,0.34438163912727765,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_8vac#2818,NiFe_Ni95_Fe05_T800_8vac,2818,0.999999999999982
a46c21504d4ea77e1fecd77f44cb6229b7ca03c6b3652453ae5413af11af481c,pending_research,pending,4972478298379930765,6698383570156747695,False,4081219197,0,0.7444172957912089,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T600_10vac#543,NiFe_Ni95_Fe05_T600_10vac,543,0.999999999999982
a45e91b4f759202615770d358ffef9f381aaac3b79330119362bc41b694ef1b8,pending_research,pending,4972478298379930765,6698383570156747695,False,1257920239,0,0.861671354517057,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_7vac#330,NiFe_Ni95_Fe05_T800_7vac,330,0.999999999999982
399c363a5b44328997b15837368561557e112848b18717b34e5d9cc65b4d2462,pending_research,pending,4972478298379930765,6698383570156747695,False,2112806698,0,0.8311638281811613,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_6vac#1329,NiFe_Ni95_Fe05_T800_6vac,1329,0.999999999999982
3994f1e87dbb167717e1e03ec2f43b3a77074ee25bd8992a309c3a29c5f447a2,pending_research,pending,5330918672303922021,16426931232365969814,True,1231408413,0,1.0093273919474088,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_10vac#820,NiFe_Ni95_Fe05_T800_10vac,820,0.999999999999982
8ff9245373712d8f8f6107c88a1360efb2254153b0791b8bdeb0979515bcfe1a,pending_research,pending,4972478298379930765,6698383570156747695,False,3031796809,0,0.6239153529631947,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_9vac#1078,NiFe_Ni95_Fe05_T800_9vac,1078,0.999999999999982
