class_id,leg_rank,selected,stratum,arch_name,fe_role,flux_firings,Ea_rep_eV,Ea_std_eV,n_members,tok_kinds,n_tok,n_disp_gt1A,mover_rank,mover_margin_A,dra_stored_A,pred_search_run,pred_search_idx,pred_Ea_member_eV,prev_status,pct_pending_flux
3e3b04c2c5bf0aebe5bbb00011cc5819c93f15108f4a368d7d1db68959d6ebee,60,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,19.48339854642104,0.6545783956007655,,1,OTHER,1,1,0,2.4826808265375684,1.286681166099695,NiFe_Ni95_Fe05_T800_1vac,486,0.6545783956007654,,0.18762422661614148
2d198081512be5411dd1e02a11ab8570df49ac369a727c821fb7d0b0a4aa4199,61,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,19.29847099053914,0.5697131525439546,,1,HOLLOW_FCC,1,1,0,2.489028069192814,1.1938584100255547,NiFe_Ni95_Fe05_T500_10vac,876,0.5697131525439545,,0.18584338280854362
cfabccc4a350c920e60a022c1c45c67f13ee1d7493d4cb3eb6fe997c4736ef6d,62,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,19.02647568293955,0.4669730206153161,0.02,5,HOLLOW_FCC,1,1,0,2.486843178178567,1.155522493045303,NiFe_Ni95_Fe05_T300_8vac,65,0.48282876644498174,,0.18322408058003345
ffe6d311358074dea9824531c68ebf3e4089a523773a4cf312559fcff9edc169,63,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,18.9971079800384,0.6551488590102964,,1,OTHER,1,1,0,2.483482735253142,1.2860959342187934,NiFe_Ni95_Fe05_T700_2vac,289,0.6551488590102963,,0.18294127095977172
233ccee6f701941e58a4f4510bd7fdd8980093e9ff0363841e50e6c5cc9629af,64,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,18.84859706526325,0.58054012329103,,1,HOLLOW_FCC,1,1,0,2.486726258535214,1.1855091487605882,NiFe_Ni95_Fe05_T800_7vac,1327,0.5805401232910299,,0.1815111177212413
e7731d99e78fbb6528a47222ef9302e3060420dc12c18c70240511d3e2de095b,65,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,18.8269495786354,0.6540898699622631,,1,HOLLOW_FCC,1,1,0,2.475546269687274,1.2905624877938506,NiFe_Ni95_Fe05_T600_2vac,308,0.654089869962263,,0.18130265342652102
d7cf10426f89d2b41d9bf8a7e9286856d7b276ad28f27112f5e1cf18a113f324,66,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,18.78288727742237,0.6551385046277575,,1,OTHER,1,1,0,2.4826808265375684,1.263943062688159,NiFe_Ni95_Fe05_T800_1vac,485,0.6551385046277574,,0.18087833550435128
4cc00330fa3cd0c194cf1c0464d46208f657d96faace386eea5bf3b60c2ed66f,67,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,18.780855497918576,0.6558656282277299,,1,OTHER,1,1,0,2.486905795379108,1.2666327002340267,NiFe_Ni95_Fe05_T800_1vac,663,0.6558656282277298,,0.1808587695617286
a7a7d49c13a2d05329da6d62ff358c7bf744589597fa136014ff7233c7d14f0e,68,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,18.7547219046688,0.6463934009170772,,1,HOLLOW_FCC,1,1,0,2.4514099644693257,1.1459638084250654,NiFe_Ni95_Fe05_T800_1vac,246,0.6463934009170771,,0.1806071042677858
d50a753269b9aa1c5448a0013c1ae2f0e778ca1f68a660e318b3bd4d2f20c73a,69,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,18.437342935648523,0.5671582902051844,,2,OTHER,1,1,0,2.4799392210013007,1.258018277610297,NiFe_Ni95_Fe05_T800_5vac,312,0.6564498403213292,,0.17755075947943796
