class_id,nu0_pair_policy,audit_status,archetype,action_id,one_way,move_shape,delta_atoms,Ea_rep_eV,Ea_std_eV,n_eff,flux_firings,n_selected,occupancy_s,n_instances,reachable,n_members,donor,donor_run,donor_idx,cum_flux_frac_pend,arch_name,fe_role,tok_kinds,n_tok,n_disp_gt1A,mover_rank,mover_margin_A,dra_stored_A,prev_status,stratum
76fdadd8b917f76a0223636fd397c8548cb2507b322868d57f043278ca1db689,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6472302222928193,,1.0,27.767728744447982,31.0,2.440729182e-08,31.0,True,1,NiFe_Ni95_Fe05_T700_2vac#366,NiFe_Ni95_Fe05_T700_2vac,366,0.06549281309318172,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.470825558847471,1.268869355755927,,A1_fe_mover
dfcde3b17335ecf9ff0b0e11bdcc0d806158e13fbc569459cd0a0682eb3438ed,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6577463499370425,,1.0,27.30264395022352,26.0,7.463079954e-09,60.0,True,1,NiFe_Ni95_Fe05_T800_4vac#625,NiFe_Ni95_Fe05_T800_4vac,625,0.06812204507420978,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.4906926587942815,1.2755584142301173,,A1_fe_mover
6a2a03a2b83a16ede531db5858edd4e55c9e70fe4ab2dc7bddda22411c3e9166,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6589742779706287,,1.0,27.1438234629202,28.0,7.67616063e-09,29.0,True,1,NiFe_Ni95_Fe05_T800_1vac#664,NiFe_Ni95_Fe05_T800_1vac,664,0.07073598271578771,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.486905795379108,1.2885693436379486,,A1_fe_mover
563c4306ae2298053c5a0a2961a828c85b25b3df2cc3276f368be80148a903db,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6496114479996323,,1.0,27.00172012854818,15.0,6.6001197e-09,17.0,True,1,NiFe_Ni95_Fe05_T800_9vac#1226,NiFe_Ni95_Fe05_T800_9vac,1226,0.07333623587200874,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.4832990793528738,1.2669755681413293,,A1_fe_mover
edd1c4f39dd12457e048ed4fe1c1d2904d393840bfbd7861a61bc7d5fbc1f8aa,pending_research,pending,4972478298379930765,5581027151000475338,False,1466825020,0,0.6812443766239086,,1.0,26.85528082010963,27.0,6.4683278903e-06,183.0,True,1,NiFe_Ni95_Fe05_T500_9vac#756,NiFe_Ni95_Fe05_T500_9vac,756,0.07592238699057627,V1NN_inplane,A1_fe_mover,HOLLOW_FCC,1,1,0,2.4872023330605257,1.3733206866228636,,A1_fe_mover
5ca7383b6fe11bbd19f1e727a4a26cd1ab812b8459564879cf106dab17b6fd3d,pending_research,pending,4972478298379930765,5581027151000475338,False,1466825020,0,0.6850927303366917,,1.0,26.55730832965924,35.0,6.4683278903e-06,183.0,True,1,NiFe_Ni95_Fe05_T500_9vac#777,NiFe_Ni95_Fe05_T500_9vac,777,0.07847984349616832,V1NN_inplane,A1_fe_mover,HOLLOW_FCC,1,1,0,2.4850761299487294,1.391579439832894,,A1_fe_mover
a3e562860d24e05cf083f4d745e4da48eb4259598a656d1de908065755747539,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6241872140108172,,1.0,26.52175531151392,26.0,1.5771977981000002e-08,59.0,True,1,NiFe_Ni95_Fe05_T700_6vac#203,NiFe_Ni95_Fe05_T700_6vac,203,0.08103387626256134,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.4682687672462653,1.2661043824765714,,A1_fe_mover
330dcba931a45e35f07d1350f931e5c1a3bd051c5ec170e1d8d1a3c30522092e,pending_research,pending,4972478298379930765,5581027151000475338,False,1466825020,0,0.685894091062437,,1.0,26.47691452024991,18.0,1.9114893201000004e-08,110.0,True,1,NiFe_Ni95_Fe05_T800_7vac#768,NiFe_Ni95_Fe05_T800_7vac,768,0.08358359088150091,V1NN_inplane,A1_fe_mover,HOLLOW_FCC,1,1,0,2.4863720645280543,1.380094583184245,,A1_fe_mover
6e1aa4478a7f5f26f7107ad04923fff606f76db3d098f37b1469c5537b945a43,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6537497764147703,,1.0,26.44630205534705,33.0,2.6738399290000006e-08,36.0,True,1,NiFe_Ni95_Fe05_T700_9vac#1412,NiFe_Ni95_Fe05_T700_9vac,1412,0.08613035753423298,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.4824657154463123,1.275816544649939,,A1_fe_mover
abc36c88a99ba62b09f96904c512ec4060783eab54c7ae0f0c5681ca7b8a8f0c,pending_research,approved,4972478298379930765,5581027151000475338,False,702021517,0,0.519654773361394,,2.0,25.774407851758397,24.0,5.763750731999999e-09,34.0,True,2,NiFe_Ni95_Fe05_T700_3vac#496,NiFe_Ni95_Fe05_T700_3vac,496,0.08861242108600666,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.463190560398235,1.2664264227940565,,A1_fe_mover
